,document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
6120,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What happens when the Jias fall from the Emperor's favor?,Their mansions are raided and taken,Their mansions was taken from them.,What happens when the Jias fall from the Emperor s favor ?,Their mansions are raided and taken,Their mansions was taken from them .
6121,44c8278a7dc6f876636f0979bb645cf98ae1df0f,train,What was the person who abandoned the stone doing when they abandoned it?,mending the heavens,The goddess  was  mending heaven,What was the person who abandoned the stone doing when they abandoned it ?,mending the heavens,The goddess was mending heaven
6947,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who is Mrs.Graham's son?,Arthur.,Arthur.,Who is Mrs.Graham s son ?,Arthur .,Arthur .
6948,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who wants to receive the affection of Mrs. Graham?,Walter Hargrave.,Mr. Lawrence.,Who wants to receive the affection of Mrs. Graham ?,Walter Hargrave .,Mr. Lawrence .
6949,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,What does Gilbert accuse Mrs. Graham of?,He accuses her of loving Lawrence.,Loving Lawrence.,What does Gilbert accuse Mrs. Graham of ?,He accuses her of loving Lawrence .,Loving Lawrence .
6950,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Where does Gilbert discover that Helen is rich?,In Grassdale.,Staningley.,Where does Gilbert discover that Helen is rich ?,In Grassdale .,Staningley .
6951,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Why does Helen return to Grassdale?,Her husband is really sick.,Her husband was ill.,Why does Helen return to Grassdale ?,Her husband is really sick .,Her husband was ill .
6952,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who spreads rumors about Helen?,Eliza.,Eliza.,Who spreads rumors about Helen ?,Eliza .,Eliza .
6953,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,When did Helen decide to hand her diaries to Gilbert?,After he accused her of loving Lawrence.,When Gilbert accuses her of loving Lawrence.,When did Helen decide to hand her diaries to Gilbert ?,After he accused her of loving Lawrence .,When Gilbert accuses her of loving Lawrence .
6954,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Why does Huntingdon become jealous of his son?,He saw his son receive a lot of love and attention.,He takes up Helen's time ,Why does Huntingdon become jealous of his son ?,He saw his son receive a lot of love and attention .,He takes up Helen s time
6955,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who was having an affair with Lady Lowborough?,Arthur.,Arthur,Who was having an affair with Lady Lowborough ?,Arthur .,Arthur
6956,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Where does Helen find asylum?,At Wildfell Hall.,Wildfell Hall,Where does Helen find asylum ?,At Wildfell Hall .,Wildfell Hall
6957,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who is the narrator in Part One?,Gilbert Markham.,Gilbert Markham.,Who is the narrator in Part One ?,Gilbert Markham .,Gilbert Markham .
6958,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Why was Mrs Helen Graham not free to marry?,Because she was actually married to Arthur Huntingdon.,Her husband was ill.,Why was Mrs Helen Graham not free to marry ?,Because she was actually married to Arthur Huntingdon .,Her husband was ill .
6959,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,What estate did Helen eventually buy?,Staningley.,Staningley,What estate did Helen eventually buy ?,Staningley .,Staningley
6960,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,In what estate did Helen live with Huntingdon?,Grassdale.,Wildfell Hall.,In what estate did Helen live with Huntingdon ?,Grassdale .,Wildfell Hall .
6961,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who does Gilbert believe is his chief rival?,Mr Lawrence.,Mr. Lawrence.,Who does Gilbert believe is his chief rival ?,Mr Lawrence .,Mr. Lawrence .
6962,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who is Mr Lawrence to Mrs Helen Graham?,Her brother.,her brother,Who is Mr Lawrence to Mrs Helen Graham ?,Her brother .,her brother
6963,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who does Arthur Huntingdon flirt with?,Annabella (now Lady Lowborough).,Annabella.,Who does Arthur Huntingdon flirt with ?,Annabella ( now Lady Lowborough ) .,Annabella .
6964,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Why does Helen return to Grassdale?,Because her husband is ill.,Her husband is ill.,Why does Helen return to Grassdale ?,Because her husband is ill .,Her husband is ill .
6965,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who was Gilbert Markham's first romantic interest?,Eliza Millward.,Helen Graham,Who was Gilbert Markham s first romantic interest ?,Eliza Millward .,Helen Graham
6966,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,When did Helen give Gilbert her diaries?,When Gilbert accused her of loving Mr Lawrence.,When he accuses here of loving Lawrence.,When did Helen give Gilbert her diaries ?,When Gilbert accused her of loving Mr Lawrence .,When he accuses here of loving Lawrence .
6967,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Why is Huntingdon's death painful?,He is afraid of what awaits him.,Because he is terrified.,Why is Huntingdon s death painful ?,He is afraid of what awaits him .,Because he is terrified .
6968,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,What does Arthur do when he finds out about Helen's plans to leave?,He burns her artists's tools.,Arthur burns her art tools.,What does Arthur do when he finds out about Helen s plans to leave ?,He burns her artists s tools .,Arthur burns her art tools .
6969,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Why does Helen return to Grassdale?,Her husband becomes ill.,Her husband is gravely ill.,Why does Helen return to Grassdale ?,Her husband becomes ill .,Her husband is gravely ill .
6970,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who does Mr. Lawrence end up marrying?,Esther Hargrave,Esther Hargrave,Who does Mr. Lawrence end up marrying ?,Esther Hargrave,Esther Hargrave
6971,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,How does Arthur corrupt his son?,He encourages him to drink and smoke.,HE encourages his to drink and swear ,How does Arthur corrupt his son ?,He encourages him to drink and smoke .,HE encourages his to drink and swear
6972,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Why does Eliza spread rumors about Helen?,Gilbert Markham becomes interested in Mrs. Graham.,She's jealous of Gilbert's attention to Helen,Why does Eliza spread rumors about Helen ?,Gilbert Markham becomes interested in Mrs. Graham .,She s jealous of Gilbert s attention to Helen
6973,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,What does Huntingdon use to manipulate Helen and convince her to marry him?,He flirts with Annabella.,flirting with Annabelle,What does Huntingdon use to manipulate Helen and convince her to marry him ?,He flirts with Annabella .,flirting with Annabelle
6974,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who makes Huntingdon jealous?,His son.,"His son, Arthur",Who makes Huntingdon jealous ?,His son .,"His son , Arthur"
6975,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Who tells Helen about Arthur's affair with Lady Lowborough?,Walter,Walter.,Who tells Helen about Arthur s affair with Lady Lowborough ?,Walter,Walter .
6976,4e959a5d22e1968a1950ac836a1ba0cc3edffa41,valid,Where does Helen find refuge?,Wildfell Hall,Staningley estate.,Where does Helen find refuge ?,Wildfell Hall,Staningley estate .
8450,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Where was David born?,"Blunderstone, Suffolk, England","in Blunderstone, Suffolk, England",Where was David born ?,"Blunderstone , Suffolk , England","in Blunderstone , Suffolk , England"
8451,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,When David was seven who did his mother marry?,Edward Murdstone,Edward Murdstone,When David was seven who did his mother marry ?,Edward Murdstone,Edward Murdstone
8452,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,"To get David out of the way, where was he sent to live by his mother and stepfather?",Peggotty's family,"Yarmouth, with Peggotty's family","To get David out of the way , where was he sent to live by his mother and stepfather ?",Peggotty s family,"Yarmouth , with Peggotty s family"
8453,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,With whom is David in love?,Little Em'ly,Em'ly,With whom is David in love ?,Little Em'ly,Em'ly
8454,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Where did Murdstone send David to work in London?,For a wine merchant.,a wine merchant,Where did Murdstone send David to work in London ?,For a wine merchant .,a wine merchant
8455,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,"When David ran away, to which relative did he run?",Betsey Trotwood,His great aunt Betsey,"When David ran away , to which relative did he run ?",Betsey Trotwood,His great aunt Betsey
8456,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,What nickname did David's great-aunt call him?,Trot,Trot,What nickname did David s great-aunt call him ?,Trot,Trot
8457,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Why was Uriah Heep in prison?,For defrauding the Bank of England,Attempting to defraud the Bank of England,Why was Uriah Heep in prison ?,For defrauding the Bank of England,Attempting to defraud the Bank of England
8458,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,"To build a new life, where did Peggotty take Emily?",Australia,to Australia ,"To build a new life , where did Peggotty take Emily ?",Australia,to Australia
8459,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,"How did David's wife, Dora Spenlow, die?",From a miscarriage.,Failing to recover from a miscarriage,"How did David s wife , Dora Spenlow , die ?",From a miscarriage .,Failing to recover from a miscarriage
8460,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Why wasn't David's father a part of his life?,His father died six months before David was born.,His father died before David was born.,Why was n't David s father a part of his life ?,His father died six months before David was born .,His father died before David was born .
8461,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Where was David sent to live after his mother remarried?,With their housekeeper Peggotty's family.,With the housekeeeper's family,Where was David sent to live after his mother remarried ?,With their housekeeper Peggotty s family .,With the housekeeeper s family
8462,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,What does David find out when he goes home for the holiday's?,His mother gave birth to a baby boy.,His mother had a baby boy,What does David find out when he goes home for the holiday s ?,His mother gave birth to a baby boy .,His mother had a baby boy
8463,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who was David in love with during his childhood?,Little Em'ly.,Em'ly,Who was David in love with during his childhood ?,Little Em'ly .,Em'ly
8464,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Why does David run away when he is in London?,There is no one to care for him.,No one is in the city to care for David.,Why does David run away when he is in London ?,There is no one to care for him .,No one is in the city to care for David .
8465,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Why did David's aunt Betsey agree to raise him?,She feels pity for him.,She pities his situation,Why did David s aunt Betsey agree to raise him ?,She feels pity for him .,She pities his situation
8466,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,"Who renamed David as ""Trotwood Copperfield""?",His great-aunt Betsey.,Betsey Trotwood,Who renamed David as Trotwood Copperfield ?,His great-aunt Betsey .,Betsey Trotwood
8467,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,When did David meet Agnes?,"When he lodged with her father, the lawyer, Mr.Wickfield.",when he lodges with her and her father,When did David meet Agnes ?,"When he lodged with her father , the lawyer , Mr.Wickfield .",when he lodges with her and her father
8468,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,"What ended David's marraige with his first wife, Dora?",She died after being unable to recover from a miscarriage.,Her death after a miscarriage,"What ended David s marraige with his first wife , Dora ?",She died after being unable to recover from a miscarriage .,Her death after a miscarriage
8469,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who did David marry second?,He married Agnes.,Agnes,Who did David marry second ?,He married Agnes .,Agnes
8470,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Whose family is David sent to live with?,The Peggotty's,Their housekeeper Peggotty,Whose family is David sent to live with ?,The Peggotty s,Their housekeeper Peggotty
8471,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Where does Emily move to and with whom?,"Australia with Peggotty, Mrs. Gummidge and the Micawbers","Australia, with Peggotty",Where does Emily move to and with whom ?,"Australia with Peggotty , Mrs. Gummidge and the Micawbers","Australia , with Peggotty"
8472,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,How does David's first wife pass away?,A miscarriage early in their marraige,Failing to recover from a miscarriage,How does David s first wife pass away ?,A miscarriage early in their marraige,Failing to recover from a miscarriage
8473,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who is Uriah Heep?,Mr. Wickfiel's 15 year old secretary,Wickfield's secretary,Who is Uriah Heep ?,Mr. Wickfiel s 15 year old secretary,Wickfield s secretary
8474,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,How many children does David have?,Five.,At least five.,How many children does David have ?,Five .,At least five .
8475,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who seduces Emily?,Steerforth,Steerforth,Who seduces Emily ?,Steerforth,Steerforth
8476,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,How did Steepforth die?,In a storm,Died in a storm off the coast while on a ship.,How did Steepforth die ?,In a storm,Died in a storm off the coast while on a ship .
8477,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who is Agnes?,David's confidant and Mr. Wickfield's daughter.,The woman David marries eventually.,Who is Agnes ?,David s confidant and Mr. Wickfield s daughter .,The woman David marries eventually .
8478,5f6df6afc107cfc05dd4bfc6fe963ae89aa9ab7f,train,Who raises David?,Betsey Trotwood,"Multiple people, mostly Peggotty's family",Who raises David ?,Betsey Trotwood,"Multiple people , mostly Peggotty s family"
8892,65ba9ee675bf87cff5d76e2a27c0652adb69381b,train,"What does the word ""state"" refer to?",Status and/or the official ruling government.,All republican or princely forms of supreme political power. ,What does the word state refer to ?,Status and/or the official ruling government .,All republican or princely forms of supreme political power .
8893,65ba9ee675bf87cff5d76e2a27c0652adb69381b,train,"Is ""The Prince"" about Princedoms?",It is about Princedoms.,"Yes, though it it mixed with republics discussion. ",Is The Prince about Princedoms ?,It is about Princedoms .,"Yes , though it it mixed with republics discussion ."
8894,65ba9ee675bf87cff5d76e2a27c0652adb69381b,train,What is a unique trait about hereditary Princedoms?,It is unlikely that subjects will disdain the Prince except in extreme circumstances.,They are easier to rule. ,What is a unique trait about hereditary Princedoms ?,It is unlikely that subjects will disdain the Prince except in extreme circumstances .,They are easier to rule .
8895,65ba9ee675bf87cff5d76e2a27c0652adb69381b,train,Why do non-hereditary Princes have unique challenges?,They have to establish themselves.,A new Prince has to establish himself as a new leader in defiance of custom,Why do non-hereditary Princes have unique challenges ?,They have to establish themselves .,A new Prince has to establish himself as a new leader in defiance of custom
8896,65ba9ee675bf87cff5d76e2a27c0652adb69381b,train,What influences inspired Machiavelli?,His own experiences.,Tacitus,What influences inspired Machiavelli ?,His own experiences .,Tacitus
8897,65ba9ee675bf87cff5d76e2a27c0652adb69381b,train,Who educated Cyrus the Great?,Xenophon educated Cyrus the Great.,Xenophon,Who educated Cyrus the Great ?,Xenophon educated Cyrus the Great .,Xenophon
8898,65ba9ee675bf87cff5d76e2a27c0652adb69381b,train,"According to Xenophon, how was Cyrus the Great unique?",He was different from both hereditary kings and kings who earned their own rule.,he was different than all other kings,"According to Xenophon , how was Cyrus the Great unique ?",He was different from both hereditary kings and kings who earned their own rule .,he was different than all other kings
